name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
chad,5,Virginia,Gardner-Webb,16,$31.28,0.0%,50.45%,0.0%,4.12
gully,11,Virginia,Gardner-Webb,16,$24.8,0.0%,40.0%,0.0%,3.09
bob,0,Virginia,Gardner-Webb,16,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Virginia,Gardner-Webb,16,$8.96,0.0%,14.45%,0.0%,4.65
drew,2,Virginia,Gardner-Webb,16,$0.0,0.0%,0.0%,0.0%,12.09
liz,3,Virginia,Gardner-Webb,16,$0.0,0.0%,0.0%,0.0%,4.01
barb,4,Virginia,Gardner-Webb,16,$0.0,0.0%,0.0%,0.0%,13.54
liquorman,6,Virginia,Gardner-Webb,16,$0.0,0.0%,0.0%,0.0%,7.08
dave monkey,7,Virginia,Gardner-Webb,16,$0.0,0.0%,0.0%,0.0%,5.83
purdue pete,8,Virginia,Gardner-Webb,16,$0.0,0.0%,0.0%,0.0%,14.23
stef,9,Virginia,Gardner-Webb,16,$0.0,0.0%,0.0%,0.0%,10.99
peninsular danny,10,Virginia,Gardner-Webb,16,$0.0,0.0%,0.0%,0.0%,13.39
jake,13,Virginia,Gardner-Webb,16,$0.0,0.0%,0.0%,0.0%,9.23
terry,14,Virginia,Gardner-Webb,16,$0.0,0.0%,0.0%,0.0%,5.83
tyler,15,Virginia,Gardner-Webb,16,$0.0,0.0%,0.0%,0.0%,10.3

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Oklahoma,Mississippi,17,$148.8,60.0%,0.0%,0.0%,2.31
terry,14,Oklahoma,Mississippi,17,$114.7,40.0%,25.0%,0.0%,1.95
chad,5,Oklahoma,Mississippi,17,$46.5,0.0%,75.0%,0.0%,2.25
bob,0,Oklahoma,Mississippi,17,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,Oklahoma,Mississippi,17,$0.0,0.0%,0.0%,0.0%,8.0
drew,2,Oklahoma,Mississippi,17,$0.0,0.0%,0.0%,0.0%,10.99
liz,3,Oklahoma,Mississippi,17,$0.0,0.0%,0.0%,0.0%,6.0
barb,4,Oklahoma,Mississippi,17,$0.0,0.0%,0.0%,0.0%,15.0
liquorman,6,Oklahoma,Mississippi,17,$0.0,0.0%,0.0%,0.0%,4.05
dave monkey,7,Oklahoma,Mississippi,17,$0.0,0.0%,0.0%,0.0%,7.0
purdue pete,8,Oklahoma,Mississippi,17,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Oklahoma,Mississippi,17,$0.0,0.0%,0.0%,0.0%,12.0
peninsular danny,10,Oklahoma,Mississippi,17,$0.0,0.0%,0.0%,0.0%,12.79
gully,11,Oklahoma,Mississippi,17,$0.0,0.0%,0.0%,0.0%,4.44
jake,13,Oklahoma,Mississippi,17,$0.0,0.0%,0.0%,0.0%,10.01
tyler,15,Oklahoma,Mississippi,17,$0.0,0.0%,0.0%,0.0%,9.01

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
liquorman,6,Oregon,Wisconsin,18,$229.01,90.09%,9.0%,0.0%,1.1
dave b.,1,Oregon,Wisconsin,18,$64.71,18.09%,32.0%,0.0%,2.75
liz,3,Oregon,Wisconsin,18,$14.26,0.0%,23.0%,0.0%,3.08
gully,11,Oregon,Wisconsin,18,$9.92,0.0%,16.0%,0.0%,4.18
barb,4,Oregon,Wisconsin,18,$6.2,0.0%,0.0%,62.0%,15.62
chad,5,Oregon,Wisconsin,18,$6.2,0.0%,10.0%,0.0%,4.07
bob,0,Oregon,Wisconsin,18,$3.8,0.0%,0.0%,38.0%,15.38
drew,2,Oregon,Wisconsin,18,$0.0,0.0%,0.0%,0.0%,13.81
dave monkey,7,Oregon,Wisconsin,18,$0.0,0.0%,0.0%,0.0%,5.99
purdue pete,8,Oregon,Wisconsin,18,$0.0,0.0%,0.0%,0.0%,12.0
stef,9,Oregon,Wisconsin,18,$0.0,0.0%,0.0%,0.0%,9.79
